Date,Open,High,Low,Close,Volume
2018-02-27 13:00:00,882.0,888.95,876.1,887.5,3956.49
2018-02-27 12:00:00,882.98,885.99,880.77,882.0,1281.3
2018-02-27 11:00:00,878.24,883.99,876.34,882.98,1489.2
2018-02-27 10:00:00,890.52,890.8,876.5,878.24,1823.4
2018-02-27 09:00:00,891.26,893.9,886.34,890.52,1998.67
2018-02-27 08:00:00,888.56,894.0,886.15,891.26,3161.78
2018-02-27 07:00:00,875.24,890.0,874.58,888.56,5596.28
2018-02-27 06:00:00,874.88,877.0,874.03,875.24,1647.38
2018-02-27 05:00:00,871.0,875.0,868.36,874.88,2871.83
2018-02-27 04:00:00,867.95,871.9,867.95,871.0,2344.17
2018-02-27 03:00:00,863.0,869.49,861.0,867.95,1833.63
2018-02-27 02:00:00,863.51,866.0,860.97,863.0,1923.53
2018-02-27 01:00:00,871.41,871.99,861.0,863.51,1802.67
2018-02-27 00:00:00,867.09,872.0,865.49,871.41,1701.59
2018-02-26 23:00:00,868.03,868.03,862.2,867.09,1127.46
2018-02-26 22:00:00,864.9,870.38,861.88,868.03,2336.62
2018-02-26 21:00:00,862.0,871.0,860.0,864.9,4781.34
2018-02-26 20:00:00,863.4,863.4,856.93,862.0,2974.06
2018-02-26 19:00:00,862.0,864.0,860.21,863.4,2678.9
2018-02-26 18:00:00,867.97,872.0,859.21,862.0,2597.74
2018-02-26 17:00:00,862.63,868.07,857.22,867.97,3801.01
2018-02-26 16:00:00,870.92,874.94,861.99,862.63,3925.93
2018-02-26 15:00:00,872.58,874.35,869.49,870.92,3233.32
2018-02-26 14:00:00,870.0,877.5,869.0,872.58,4408.71
2018-02-26 13:00:00,866.17,877.0,866.17,870.0,7125.01
2018-02-26 12:00:00,859.07,866.18,855.96,866.17,1352.38
2018-02-26 11:00:00,857.07,862.07,857.06,859.07,1774.63
2018-02-26 10:00:00,845.81,857.07,845.65,857.07,1003.44
2018-02-26 09:00:00,842.05,848.0,841.42,845.81,1179.41
2018-02-26 08:00:00,844.74,845.06,837.19,842.05,1310.44
2018-02-26 07:00:00,836.23,844.74,835.84,844.74,932.31
2018-02-26 06:00:00,849.44,849.44,835.0,836.23,2106.19
2018-02-26 05:00:00,851.75,854.0,845.84,849.44,870.75
2018-02-26 04:00:00,850.1,851.93,845.84,851.75,2984.44
2018-02-26 03:00:00,857.36,858.0,847.93,850.1,2371.79
2018-02-26 02:00:00,853.99,859.0,851.16,857.36,2884.81
2018-02-26 01:00:00,842.36,854.01,842.35,853.99,4027.62
2018-02-26 00:00:00,841.96,844.03,838.52,842.36,1462.28
2018-02-25 23:00:00,847.16,847.24,839.1,841.96,2061.35
2018-02-25 22:00:00,840.09,847.24,837.7,847.16,1771.96
2018-02-25 21:00:00,838.37,841.79,834.4,840.09,1952.05
2018-02-25 20:00:00,835.81,843.54,833.0,838.37,4532.0
2018-02-25 19:00:00,832.58,838.17,829.6,835.81,1541.98
2018-02-25 18:00:00,828.92,832.72,825.0,832.58,1561.79
2018-02-25 17:00:00,831.47,831.98,827.08,828.92,968.93
2018-02-25 16:00:00,827.01,831.98,825.0,831.47,2164.27
2018-02-25 15:00:00,825.0,829.54,816.89,827.01,2023.56
2018-02-25 14:00:00,828.88,830.0,824.65,825.0,954.36
2018-02-25 13:00:00,829.57,831.8,821.0,828.88,1798.67
2018-02-25 12:00:00,837.51,840.02,828.5,829.57,931.28
